RECKITTBEN,4,695.9,4,709.9,4,686,4,695.9,4,707,-11.1,43,0.423,90

REGENTTEX,9.1,9.3,9,9.1,9.1,0,79,1.925,210,739

RELIANCE1,11,11,10.9,11,10.9,0.1,7,0.221,20,046

RELIANCINS,62,63.4,60.1,60.9,60,2,232,4.543,74,036

RENATA,1,335.1,1,341,1,335,1,335.1,1,338.8,-3.7,228,15.39,11,520

RENWICKJA,943.8,944.6,912.3,944.1,929.8,14,75,2.75,2,926

REPUBLIC,45.2,46.4,43.8,45.2,44,1.2,319,8.629,191,649

RINGSHINE,9.7,9.8,9.5,9.7,9.6,0.1,627,35.911,3,748,162

RNSPIN,6.4,6.7,6.4,6.4,6.5,-0.1,96,1.62,251,633

ROBI,29.4,29.8,29.3,29.4,29.7,-0.3,668,17.584,597,510

RSRMSTEEL,19.6,19.9,19.2,19.6,19.5,0.1,354,7.271,371,184

RUNNERAUTO,50.8,51.4,50.4,50.8,51.3,-0.5,74,0.865,17,055

RUPALIBANK,26.9,27.9,26.5,26.7,26.6,0.3,62,0.855,31,788

RUPALIINS,31.2,32.2,30,31.2,30.2,1,518,13.31,422,552

RUPALILIFE,65.3,67,64.1,65.3,65.2,0.1,292,5.651,86,395

SAFKOSPINN,20.4,20.8,20.1,20.4,20.5,-0.1,233,3.86,188,209

SAIFPOWER,32.2,32.5,32,32.2,32.6,-0.4,903,40.329,1,252,681

SAIHAMCOT,16.5,16.8,16.2,16.2,16.5,0,160,4.186,255,518

SAIHAMTEX,22.4,23.1,22.3,22.4,22.5,-0.1,205,6.275,278,896

SALAMCRST,30.5,31.6,30.5,30.5,31.1,-0.6,610,21.801,711,205

SALVOCHEM,60.2,61.2,59.9,60.2,61.1,-0.9,722,34.311,569,552

SAMATALETH,68.3,69,67.6,68.3,67.9,0.4,111,1.113,16,351

SAMORITA,75.3,77.8,71.5,75.3,71.3,4,546,14.628,197,486

SANDHANINS,30.6,31.8,30.5,30.6,29.9,0.7,176,3.624,117,156

SAPORTL,29.1,29.4,28.9,29,29.4,-0.3,341,11.995,413,744

SAVAREFR,203.6,219,198.2,203.6,200,3.6,16,0.079,386

SBACBANK,12.4,12.7,11.9,12.4,11.7,0.7,913,27.588,2,252,765

SEAPEARL,43.3,44.3,43.1,43.3,43.8,-0.5,193,7.023,162,078

SEMLFBSLGF,8.3,8.5,8.3,8.3,8.3,0,64,1.298,155,458

SEMLIBBLSF,8.8,8.9,8.7,8.8,8.6,0.2,25,0.189,21,436

SEMLLECMF,10.6,10.7,10.5,10.6,10.7,-0.1,152,4.955,468,164

SHAHJABANK,20,20.1,19.8,20,20,0,28,0.691,34,633

SHASHADNIM,28.7,29.3,28.3,28.7,28.5,0.2,700,33.405,1,160,097

SHEPHERD,27.4,27.6,26.6,27.4,26.9,0.5,257,8.025,294,538

SHURWID,19.2,19.2,19,19,19,0.2,216,4.243,222,432

SHYAMPSUG,81.5,81.9,81.5,81.5,83.1,-1.6,80,1.254,15,384

SIBL,0,0,0,14.2,14.2,--,0,0,0

SILCOPHL,29,29.1,27.9,29,28.2,0.8,1,133,70.773,2,464,032

SILVAPHL,25.1,25.4,24.8,25.1,25.3,-0.2,948,70.875,2,845,476

SIMTEX,16.8,17.1,16.7,16.9,17,-0.2,106,2.262,134,095

SINGERBD,167.2,168.1,166.2,167.2,166.8,0.4,138,7.627,45,596

SINOBANGLA,51,51.9,50.9,51,51.8,-0.8,66,2.04,39,805

SKICL,50.8,52.8,47.9,50.8,48.8,2,1,092,18.413,361,685

